year,n6,name,n5,n2,n,n3,n4
2020/2/8,RU,Russian Federation,EURO,0,2,0,0
2020/2/8,FR,France,EURO,5,11,0,0
2020/2/8,TR,Turkey,EURO,0,0,0,0
2020/2/8,GB,The United Kingdom,EURO,0,3,0,0
2020/2/8,AR,Argentina,AMRO,0,0,0,0
2020/2/8,CO,Colombia,AMRO,0,0,0,0
2020/2/8,IT,Italy,EURO,0,3,0,0
2020/2/9,IN,India,SEARO,0,7,0,0
2020/2/9,US,United States of America,AMRO,1,67,0,0
2020/2/9,BR,Brazil,AMRO,0,0,0,0
2020/2/9,RU,Russian Federation,EURO,0,2,0,0
2020/2/9,FR,France,EURO,0,11,0,0
2020/2/9,TR,Turkey,EURO,0,0,0,0
2020/2/9,GB,The United Kingdom,EURO,0,3,0,0
2020/2/9,AR,Argentina,AMRO,0,0,0,0
2020/2/9,CO,Colombia,AMRO,0,0,0,0
2020/2/9,IT,Italy,EURO,0,3,0,0
2020/2/10,IN,India,SEARO,0,7,0,0
2020/2/10,US,United States of America,AMRO,1,68,0,0
2020/2/10,BR,Brazil,AMRO,0,0,0,0
2020/2/10,RU,Russian Federation,EURO,0,2,0,0
2020/2/10,FR,France,EURO,0,11,0,0
2020/2/10,TR,Turkey,EURO,0,0,0,0
2020/2/10,GB,The United Kingdom,EURO,4,7,0,0
2020/2/10,AR,Argentina,AMRO,0,0,0,0
2020/2/10,CO,Colombia,AMRO,0,0,0,0
2020/2/10,IT,Italy,EURO,0,3,0,0
2020/2/11,IN,India,SEARO,0,7,0,0
2020/2/11,US,United States of America,AMRO,2,70,0,0
2020/2/11,BR,Brazil,AMRO,0,0,0,0
2020/2/11,RU,Russian Federation,EURO,0,2,0,0
2020/2/11,FR,France,EURO,0,11,0,0
2020/2/11,TR,Turkey,EURO,0,0,0,0
2020/2/11,GB,The United Kingdom,EURO,1,8,0,0
2020/2/11,AR,Argentina,AMRO,0,0,0,0
2020/2/11,CO,Colombia,AMRO,0,0,0,0
2020/2/11,IT,Italy,EURO,0,3,0,0
2020/2/12,IN,India,SEARO,0,7,0,0
2020/2/12,US,United States of America,AMRO,1,71,0,0
2020/2/12,BR,Brazil,AMRO,0,0,0,0
